Date,Day Rank,ID,Elo,Rank Proportion
1/1/2009,1,KK,533,1
1/1/2009,2,MS,365,0.923076923
1/1/2009,3,BB,268,0.846153846
1/1/2009,4,LK,246,0.769230769
1/1/2009,5,AJ,-29,0.692307692
1/1/2009,6,TU,-101,0.615384615
1/1/2009,7,PG,-210,0.538461538
1/1/2009,8,YB,-314,0.461538462
1/1/2009,9,ST,-335,0.384615385
1/1/2009,10,ES,-640,0.307692308
1/1/2009,11,PB,-873,0.230769231
1/1/2009,12,TJ,-949,0.153846154
1/1/2009,13,AT,-967,0.076923077
1/1/2009,14,MX,-978,0
1/2/2009,1,KK,533,1
1/2/2009,2,MS,365,0.923076923
1/2/2009,3,BB,268,0.846153846
1/2/2009,4,LK,246,0.769230769
1/2/2009,5,AJ,-29,0.692307692
1/2/2009,6,TU,-101,0.615384615
1/2/2009,7,PG,-210,0.538461538
1/2/2009,8,YB,-314,0.461538462
1/2/2009,9,ST,-335,0.384615385
1/2/2009,10,ES,-640,0.307692308
1/2/2009,11,PB,-873,0.230769231
1/2/2009,12,TJ,-949,0.153846154
1/2/2009,13,AT,-967,0.076923077
1/2/2009,14,MX,-978,0
1/3/2009,1,KK,533,1
1/3/2009,2,MS,365,0.923076923
1/3/2009,3,BB,268,0.846153846
1/3/2009,4,LK,236,0.769230769
1/3/2009,5,AJ,-29,0.692307692
1/3/2009,6,TU,-101,0.615384615
1/3/2009,7,PG,-210,0.538461538
1/3/2009,8,YB,-314,0.461538462
1/3/2009,9,ST,-325,0.384615385
1/3/2009,10,ES,-640,0.307692308
1/3/2009,11,PB,-873,0.230769231
1/3/2009,12,TJ,-949,0.153846154
1/3/2009,13,AT,-967,0.076923077
1/3/2009,14,MX,-978,0
1/4/2009,1,KK,533,1
1/4/2009,2,MS,365,0.923076923
1/4/2009,3,BB,268,0.846153846
1/4/2009,4,LK,236,0.769230769
1/4/2009,5,AJ,-29,0.692307692
1/4/2009,6,TU,-101,0.615384615
1/4/2009,7,PG,-209,0.538461538
1/4/2009,8,YB,-314,0.461538462
1/4/2009,9,ST,-325,0.384615385
1/4/2009,10,ES,-641,0.307692308
1/4/2009,11,PB,-873,0.230769231
1/4/2009,12,TJ,-949,0.153846154
1/4/2009,13,AT,-967,0.076923077
1/4/2009,14,MX,-978,0
1/5/2009,1,KK,533,1
1/5/2009,2,MS,365,0.923076923
1/5/2009,3,BB,268,0.846153846
1/5/2009,4,LK,236,0.769230769
1/5/2009,5,AJ,-24,0.692307692
1/5/2009,6,TU,-101,0.615384615
1/5/2009,7,PG,-214,0.538461538
1/5/2009,8,YB,-314,0.461538462
1/5/2009,9,ST,-325,0.384615385
1/5/2009,10,ES,-641,0.307692308
1/5/2009,11,PB,-873,0.230769231
1/5/2009,12,TJ,-949,0.153846154
1/5/2009,13,AT,-967,0.076923077
1/5/2009,14,MX,-978,0
1/6/2009,1,KK,533,1
1/6/2009,2,MS,365,0.923076923
1/6/2009,3,BB,268,0.846153846
1/6/2009,4,LK,236,0.769230769
1/6/2009,5,AJ,-24,0.692307692
1/6/2009,6,TU,-101,0.615384615
1/6/2009,7,PG,-214,0.538461538
1/6/2009,8,YB,-314,0.461538462
1/6/2009,9,ST,-325,0.384615385
1/6/2009,10,ES,-641,0.307692308
1/6/2009,11,PB,-873,0.230769231
1/6/2009,12,TJ,-949,0.153846154
1/6/2009,13,AT,-967,0.076923077
1/6/2009,14,MX,-978,0
1/7/2009,1,KK,533,1
1/7/2009,2,MS,365,0.923076923
1/7/2009,3,BB,268,0.846153846
1/7/2009,4,LK,236,0.769230769
1/7/2009,5,AJ,-24,0.692307692
1/7/2009,6,TU,-101,0.615384615
1/7/2009,7,PG,-214,0.538461538
1/7/2009,8,YB,-314,0.461538462
1/7/2009,9,ST,-325,0.384615385
1/7/2009,10,ES,-641,0.307692308
1/7/2009,11,PB,-873,0.230769231
1/7/2009,12,TJ,-949,0.153846154
1/7/2009,13,AT,-967,0.076923077
1/7/2009,14,MX,-978,0
1/8/2009,1,KK,539,1
1/8/2009,2,MS,359,0.923076923
1/8/2009,3,BB,268,0.846153846
1/8/2009,4,LK,236,0.769230769
1/8/2009,5,AJ,-24,0.692307692
1/8/2009,6,TU,-101,0.615384615
1/8/2009,7,PG,-214,0.538461538
1/8/2009,8,YB,-314,0.461538462
1/8/2009,9,ST,-325,0.384615385
1/8/2009,10,ES,-641,0.307692308
1/8/2009,11,PB,-873,0.230769231
1/8/2009,12,TJ,-949,0.153846154
1/8/2009,13,AT,-967,0.076923077
1/8/2009,14,MX,-978,0
1/9/2009,1,KK,539,1
1/9/2009,2,MS,359,0.923076923
1/9/2009,3,BB,268,0.846153846
1/9/2009,4,LK,236,0.769230769
1/9/2009,5,AJ,-24,0.692307692
1/9/2009,6,TU,-101,0.615384615
1/9/2009,7,PG,-214,0.538461538
1/9/2009,8,YB,-314,0.461538462
1/9/2009,9,ST,-325,0.384615385
1/9/2009,10,ES,-641,0.307692308
1/9/2009,11,PB,-873,0.230769231
1/9/2009,12,TJ,-949,0.153846154
1/9/2009,13,AT,-967,0.076923077
1/9/2009,14,MX,-978,0
1/10/2009,1,KK,544,1
1/10/2009,2,MS,354,0.923076923
1/10/2009,3,BB,268,0.846153846
1/10/2009,4,LK,236,0.769230769
1/10/2009,5,AJ,-24,0.692307692
1/10/2009,6,TU,-101,0.615384615
1/10/2009,7,PG,-214,0.538461538
1/10/2009,8,YB,-314,0.461538462
1/10/2009,9,ST,-325,0.384615385
1/10/2009,10,ES,-641,0.307692308
1/10/2009,11,PB,-873,0.230769231
1/10/2009,12,TJ,-949,0.153846154
1/10/2009,13,AT,-967,0.076923077
1/10/2009,14,MX,-978,0
1/11/2009,1,KK,544,1
1/11/2009,2,MS,354,0.923076923
1/11/2009,3,BB,268,0.846153846
1/11/2009,4,LK,236,0.769230769
1/11/2009,5,AJ,-24,0.692307692
1/11/2009,6,TU,-101,0.615384615
1/11/2009,7,PG,-214,0.538461538
1/11/2009,8,YB,-314,0.461538462
1/11/2009,9,ST,-325,0.384615385
1/11/2009,10,ES,-641,0.307692308
1/11/2009,11,PB,-873,0.230769231
1/11/2009,12,TJ,-949,0.153846154
1/11/2009,13,AT,-967,0.076923077
1/11/2009,14,MX,-978,0
1/12/2009,1,KK,544,1
1/12/2009,2,MS,354,0.923076923
1/12/2009,3,BB,268,0.846153846
1/12/2009,4,LK,236,0.769230769
1/12/2009,5,AJ,-24,0.692307692
1/12/2009,6,TU,-101,0.615384615
1/12/2009,7,PG,-214,0.538461538
1/12/2009,8,YB,-314,0.461538462
1/12/2009,9,ST,-325,0.384615385
1/12/2009,10,ES,-641,0.307692308
1/12/2009,11,PB,-873,0.230769231
1/12/2009,12,TJ,-949,0.153846154
1/12/2009,13,AT,-967,0.076923077
1/12/2009,14,MX,-978,0
1/13/2009,1,KK,544,1
1/13/2009,2,MS,356,0.923076923
1/13/2009,3,BB,271,0.846153846
1/13/2009,4,LK,236,0.769230769
1/13/2009,5,AJ,-29,0.692307692
1/13/2009,6,TU,-101,0.615384615
1/13/2009,7,PG,-213,0.538461538
1/13/2009,8,YB,-314,0.461538462
1/13/2009,9,ST,-325,0.384615385
1/13/2009,10,ES,-642,0.307692308
1/13/2009,11,PB,-873,0.230769231
1/13/2009,12,TJ,-949,0.153846154
1/13/2009,13,AT,-967,0.076923077
1/13/2009,14,MX,-978,0
1/14/2009,1,KK,544,1
1/14/2009,2,MS,356,0.923076923
1/14/2009,3,BB,271,0.846153846
1/14/2009,4,LK,237,0.769230769
1/14/2009,5,AJ,-29,0.692307692
1/14/2009,6,TU,-101,0.615384615
1/14/2009,7,PG,-214,0.538461538
1/14/2009,8,YB,-314,0.461538462
1/14/2009,9,ST,-325,0.384615385
1/14/2009,10,ES,-642,0.307692308
1/14/2009,11,PB,-873,0.230769231
1/14/2009,12,TJ,-949,0.153846154
1/14/2009,13,AT,-967,0.076923077
1/14/2009,14,MX,-978,0
1/15/2009,1,KK,544,1
1/15/2009,2,MS,356,0.923076923
1/15/2009,3,BB,271,0.846153846
1/15/2009,4,LK,237,0.769230769
1/15/2009,5,AJ,-29,0.692307692
1/15/2009,6,TU,-101,0.615384615
1/15/2009,7,PG,-214,0.538461538
1/15/2009,8,YB,-314,0.461538462
1/15/2009,9,ST,-325,0.384615385
1/15/2009,10,ES,-642,0.307692308
1/15/2009,11,PB,-873,0.230769231
1/15/2009,12,TJ,-949,0.153846154
1/15/2009,13,AT,-967,0.076923077
1/15/2009,14,MX,-978,0
1/16/2009,1,KK,544,1
1/16/2009,2,MS,356,0.923076923
1/16/2009,3,BB,271,0.846153846
1/16/2009,4,LK,237,0.769230769
1/16/2009,5,AJ,-29,0.692307692
1/16/2009,6,TU,-101,0.615384615
1/16/2009,7,PG,-214,0.538461538
1/16/2009,8,YB,-314,0.461538462
1/16/2009,9,ST,-325,0.384615385
1/16/2009,10,ES,-642,0.307692308
1/16/2009,11,PB,-873,0.230769231
1/16/2009,12,TJ,-949,0.153846154
1/16/2009,13,AT,-967,0.076923077
1/16/2009,14,MX,-978,0
1/17/2009,1,KK,544,1
1/17/2009,2,MS,356,0.923076923
1/17/2009,3,BB,271,0.846153846
1/17/2009,4,LK,237,0.769230769
1/17/2009,5,AJ,-29,0.692307692
1/17/2009,6,TU,-101,0.615384615
1/17/2009,7,PG,-214,0.538461538
1/17/2009,8,YB,-314,0.461538462
1/17/2009,9,ST,-325,0.384615385
1/17/2009,10,ES,-642,0.307692308
1/17/2009,11,PB,-873,0.230769231
1/17/2009,12,TJ,-949,0.153846154
1/17/2009,13,AT,-967,0.076923077
1/17/2009,14,MX,-978,0
1/18/2009,1,KK,547,1
1/18/2009,2,MS,356,0.923076923
1/18/2009,3,BB,268,0.846153846
1/18/2009,4,LK,237,0.769230769
1/18/2009,5,AJ,-29,0.692307692
1/18/2009,6,TU,-101,0.615384615
1/18/2009,7,PG,-214,0.538461538
1/18/2009,8,YB,-314,0.461538462
1/18/2009,9,ST,-325,0.384615385
1/18/2009,10,ES,-642,0.307692308
1/18/2009,11,PB,-873,0.230769231
1/18/2009,12,TJ,-949,0.153846154
1/18/2009,13,AT,-967,0.076923077
1/18/2009,14,MX,-978,0
1/19/2009,1,KK,547,1
1/19/2009,2,MS,356,0.923076923
1/19/2009,3,BB,268,0.846153846
1/19/2009,4,LK,237,0.769230769
1/19/2009,5,AJ,-24,0.692307692
1/19/2009,6,TU,-101,0.615384615
1/19/2009,7,PG,-219,0.538461538
1/19/2009,8,YB,-314,0.461538462
1/19/2009,9,ST,-325,0.384615385
1/19/2009,10,ES,-642,0.307692308
1/19/2009,11,PB,-873,0.230769231
1/19/2009,12,TJ,-949,0.153846154
1/19/2009,13,AT,-967,0.076923077
1/19/2009,14,MX,-978,0
1/20/2009,1,KK,547,1
1/20/2009,2,MS,356,0.923076923
1/20/2009,3,BB,268,0.846153846
1/20/2009,4,LK,237,0.769230769
1/20/2009,5,AJ,-24,0.692307692
1/20/2009,6,TU,-101,0.615384615
1/20/2009,7,PG,-219,0.538461538
1/20/2009,8,YB,-314,0.461538462
1/20/2009,9,ST,-325,0.384615385
1/20/2009,10,ES,-642,0.307692308
1/20/2009,11,PB,-873,0.230769231
1/20/2009,12,TJ,-949,0.153846154
1/20/2009,13,AT,-967,0.076923077
1/20/2009,14,MX,-978,0
1/21/2009,1,KK,547,1
1/21/2009,2,MS,356,0.923076923
1/21/2009,3,BB,268,0.846153846
1/21/2009,4,LK,237,0.769230769
1/21/2009,5,AJ,-24,0.692307692
1/21/2009,6,TU,-101,0.615384615
1/21/2009,7,PG,-219,0.538461538
1/21/2009,8,YB,-314,0.461538462
1/21/2009,9,ST,-325,0.384615385
1/21/2009,10,ES,-642,0.307692308
1/21/2009,11,PB,-873,0.230769231
1/21/2009,12,TJ,-949,0.153846154
1/21/2009,13,AT,-967,0.076923077
1/21/2009,14,MX,-978,0
1/22/2009,1,KK,552,1
1/22/2009,2,MS,351,0.923076923
1/22/2009,3,BB,277,0.846153846
1/22/2009,4,LK,228,0.769230769
1/22/2009,5,AJ,-24,0.692307692
1/22/2009,6,TU,-101,0.615384615
1/22/2009,7,PG,-219,0.538461538
1/22/2009,8,YB,-314,0.461538462
1/22/2009,9,ST,-325,0.384615385
1/22/2009,10,ES,-642,0.307692308
1/22/2009,11,PB,-873,0.230769231
1/22/2009,12,TJ,-949,0.153846154
1/22/2009,13,AT,-967,0.076923077
1/22/2009,14,MX,-978,0
1/23/2009,1,KK,552,1
1/23/2009,2,MS,361,0.923076923
1/23/2009,3,BB,269,0.846153846
1/23/2009,4,LK,228,0.769230769
1/23/2009,5,AJ,-24,0.692307692
1/23/2009,6,TU,-103,0.615384615
1/23/2009,7,PG,-219,0.538461538
1/23/2009,8,YB,-314,0.461538462
1/23/2009,9,ST,-325,0.384615385
1/23/2009,10,ES,-642,0.307692308
1/23/2009,11,PB,-873,0.230769231
1/23/2009,12,TJ,-949,0.153846154
1/23/2009,13,AT,-967,0.076923077
1/23/2009,14,MX,-978,0
1/24/2009,1,KK,552,1
1/24/2009,2,MS,361,0.923076923
1/24/2009,3,BB,269,0.846153846
1/24/2009,4,LK,228,0.769230769
1/24/2009,5,AJ,-24,0.692307692
1/24/2009,6,TU,-103,0.615384615
1/24/2009,7,PG,-219,0.538461538
1/24/2009,8,YB,-314,0.461538462
1/24/2009,9,ST,-325,0.384615385
1/24/2009,10,ES,-642,0.307692308
1/24/2009,11,PB,-873,0.230769231
1/24/2009,12,TJ,-949,0.153846154
1/24/2009,13,AT,-967,0.076923077
1/24/2009,14,MX,-978,0
1/25/2009,1,KK,552,1
1/25/2009,2,MS,361,0.923076923
1/25/2009,3,BB,269,0.846153846
1/25/2009,4,LK,230,0.769230769
1/25/2009,5,AJ,-24,0.692307692
1/25/2009,6,TU,-105,0.615384615
1/25/2009,7,PG,-218,0.538461538
1/25/2009,8,YB,-314,0.461538462
1/25/2009,9,ST,-325,0.384615385
1/25/2009,10,ES,-643,0.307692308
1/25/2009,11,PB,-873,0.230769231
1/25/2009,12,TJ,-949,0.153846154
1/25/2009,13,AT,-967,0.076923077
1/25/2009,14,MX,-978,0
1/26/2009,1,KK,552,1
1/26/2009,2,MS,362,0.923076923
1/26/2009,3,BB,272,0.846153846
1/26/2009,4,LK,230,0.769230769
1/26/2009,5,AJ,-27,0.692307692
1/26/2009,6,TU,-119,0.615384615
1/26/2009,7,PG,-197,0.538461538
1/26/2009,8,YB,-314,0.461538462
1/26/2009,9,ST,-332,0.384615385
1/26/2009,10,ES,-644,0.307692308
1/26/2009,11,PB,-866,0.230769231
1/26/2009,12,TJ,-949,0.153846154
1/26/2009,13,AT,-967,0.076923077
1/26/2009,14,MX,-985,0
1/27/2009,1,KK,552,1
1/27/2009,2,MS,349,0.923076923
1/27/2009,3,LK,268,0.846153846
1/27/2009,4,BB,251,0.769230769
1/27/2009,5,AJ,-27,0.692307692
1/27/2009,6,TU,-123,0.615384615
1/27/2009,7,PG,-197,0.538461538
1/27/2009,8,YB,-314,0.461538462
1/27/2009,9,ST,-332,0.384615385
1/27/2009,10,ES,-644,0.307692308
1/27/2009,11,PB,-866,0.230769231
1/27/2009,12,TJ,-949,0.153846154
1/27/2009,13,AT,-967,0.076923077
1/27/2009,14,MX,-985,0
1/28/2009,1,KK,552,1
1/28/2009,2,MS,349,0.923076923
1/28/2009,3,LK,268,0.846153846
1/28/2009,4,BB,251,0.769230769
1/28/2009,5,AJ,-27,0.692307692
1/28/2009,6,TU,-123,0.615384615
1/28/2009,7,PG,-197,0.538461538
1/28/2009,8,YB,-314,0.461538462
1/28/2009,9,ST,-332,0.384615385
1/28/2009,10,ES,-644,0.307692308
1/28/2009,11,PB,-866,0.230769231
1/28/2009,12,TJ,-949,0.153846154
1/28/2009,13,AT,-967,0.076923077
1/28/2009,14,MX,-985,0
1/29/2009,1,KK,552,1
1/29/2009,2,MS,349,0.923076923
1/29/2009,3,LK,268,0.846153846
1/29/2009,4,BB,251,0.769230769
1/29/2009,5,AJ,-27,0.692307692
1/29/2009,6,TU,-123,0.615384615
1/29/2009,7,PG,-197,0.538461538
1/29/2009,8,YB,-314,0.461538462
1/29/2009,9,ST,-332,0.384615385
1/29/2009,10,ES,-644,0.307692308
1/29/2009,11,PB,-866,0.230769231
1/29/2009,12,TJ,-949,0.153846154
1/29/2009,13,AT,-967,0.076923077
1/29/2009,14,MX,-985,0
1/30/2009,1,KK,552,1
1/30/2009,2,MS,349,0.923076923
1/30/2009,3,LK,268,0.846153846
1/30/2009,4,BB,251,0.769230769
1/30/2009,5,AJ,-27,0.692307692
1/30/2009,6,TU,-123,0.615384615
1/30/2009,7,PG,-197,0.538461538
1/30/2009,8,YB,-314,0.461538462
1/30/2009,9,ST,-332,0.384615385
1/30/2009,10,ES,-644,0.307692308
1/30/2009,11,PB,-866,0.230769231
1/30/2009,12,TJ,-949,0.153846154
1/30/2009,13,AT,-967,0.076923077
1/30/2009,14,MX,-985,0
1/31/2009,1,KK,552,1
1/31/2009,2,MS,349,0.923076923
1/31/2009,3,LK,268,0.846153846
1/31/2009,4,BB,251,0.769230769
1/31/2009,5,AJ,-27,0.692307692
1/31/2009,6,TU,-123,0.615384615
1/31/2009,7,PG,-190,0.538461538
1/31/2009,8,YB,-321,0.461538462
1/31/2009,9,ST,-332,0.384615385
1/31/2009,10,ES,-644,0.307692308
1/31/2009,11,PB,-866,0.230769231
1/31/2009,12,TJ,-949,0.153846154
1/31/2009,13,AT,-967,0.076923077
1/31/2009,14,MX,-985,0
2/1/2009,1,KK,552,1
2/1/2009,2,MS,349,0.923076923
2/1/2009,3,LK,268,0.846153846
2/1/2009,4,BB,251,0.769230769
2/1/2009,5,AJ,-27,0.692307692
2/1/2009,6,TU,-123,0.615384615
2/1/2009,7,PG,-190,0.538461538
2/1/2009,8,YB,-321,0.461538462
2/1/2009,9,ST,-332,0.384615385
2/1/2009,10,ES,-644,0.307692308
