"chimp_id","year","network_sex","behavior","network_type","bt","ec","deg","trans","sex","mother_id","father_id","dobc","dfs","dls","age_mid_year","avg_rank","rank_class","days_cycling","days_obs","prop_cyc"
"AL",2010,"female","total_grooming","undirected",0,4.50736643953442e-06,0.134228187919463,0,"F",NA,NA,1981-04-24,1994-04-21,NA,29.1854893908282,0.544064839241096,"med",0,363,0
"BL",2010,"female","total_grooming","undirected",0,5.27157585583057e-06,0.564971751412429,0,"F",NA,NA,1960-07-02,1993-05-24,2016-06-04,49.9958932238193,0.701946683320548,"hi",15,226,0.0663716814159292
"BU",2010,"female","total_grooming","undirected",0,5.271732974229e-06,0.564971751412429,0,"F","BL",NA,1998-01-03,1998-01-05,2011-04-15,12.4900752908966,0.0239726025958904,"lo",72,184,0.391304347826087
"LN",2010,"female","total_grooming","undirected",0,5.64905220397339e-06,0,0,"F",NA,"Tyner (Ngogo)",1995-08-17,2008-08-13,NA,14.8720054757016,0,"lo",24,42,0.571428571428571
"LR",2010,"female","total_grooming","undirected",0,8.61014029530503e-06,1.30203982177666,1,"F","LP",NA,1989-05-15,1989-06-16,2013-05-25,21.1279945242984,0.939898457838356,"hi",8,307,0.0260586319218241
"ML",2010,"female","total_grooming","undirected",0,0.654086478021348,4.11764705882353,0,"F",NA,NA,1996-01-18,2009-01-14,NA,14.4503764544832,0.48958152469526,"med",42,161,0.260869565217391
"MU",2010,"female","total_grooming","undirected",0,5.64905220397339e-06,0,0,"F",NA,NA,1970-07-02,1990-02-02,2014-04-29,39.9972621492129,0.325560284460274,"med",0,76,0
"OT",2010,"female","total_grooming","undirected",0,0,2.14352283317801,0,"F","OU","ST",1998-02-13,1998-02-13,NA,12.3778234086242,0.194383016198142,"lo",0,337,0
"OU",2010,"female","total_grooming","undirected",9,0,2.38235353155772,0,"F",NA,NA,1979-12-14,1992-12-10,2017-07-21,30.5462012320329,0.981470470247945,"hi",0,418,0
"QT",2010,"female","total_grooming","undirected",0,8.56260802716136e-06,1.46822115399178,1,"F",NA,NA,1992-06-20,2005-06-17,NA,18.0287474332649,0.211021855053425,"lo",0,461,0
"RD",2010,"female","total_grooming","undirected",0,0.756425639863103,4.76190476190476,0,"F",NA,NA,1995-10-16,2008-10-12,2017-01-13,14.7077344284736,0.204393002028419,"lo",71,152,0.467105263157895
"TG",2010,"female","total_grooming","undirected",11,1.88743858195186e-05,0.600283960921848,0.550496634626481,"F",NA,NA,1980-05-17,1993-05-14,NA,30.1218343600274,0.842509545064384,"hi",0,397,0
