"ID1","ID2","year","total_AB_gm_gmd","total_AB_party","gmgmdi","sex_ID1","sex_ID2","n_AB_gmgmd","n_BA_gmgmd","age_mid_year_ID1","age_mid_year_ID2","weeks_pres_ID1","weeks_pres_ID2","n_AB_party","n_BA_party","dyad_sex"
"AJ","AL",2010,0,333,0,"M","F",0,0,35.9972621492129,29.1854893908282,52,52,200,133,"mixed"
"AJ","BB",2010,24,602,3.98671096345515,"M","M",9,15,35.9972621492129,43.9972621492129,52,52,294,308,"male"
"AJ","BL",2010,2,289,0.69204152249135,"M","F",0,2,35.9972621492129,49.9958932238193,52,52,197,92,"mixed"
"AJ","BU",2010,0,128,0,"M","F",0,0,35.9972621492129,12.4900752908966,52,52,128,0,"mixed"
"AJ","ES",2010,0,568,0,"M","M",0,0,35.9972621492129,15.9972621492129,52,52,405,163,"male"
"AJ","KK",2010,25,711,3.51617440225035,"M","M",13,12,35.9972621492129,24.9609856262834,52,52,424,287,"male"
"AJ","LK",2010,93,848,10.9669811320755,"M","M",52,41,35.9972621492129,26.9979466119097,52,52,478,370,"male"
"AJ","LN",2010,0,0,0,"M","F",0,0,35.9972621492129,14.8720054757016,52,52,0,0,"mixed"
"AJ","LR",2010,6,690,0.869565217391304,"M","F",1,5,35.9972621492129,21.1279945242984,52,52,230,460,"mixed"
"AJ","ML",2010,0,87,0,"M","F",0,0,35.9972621492129,14.4503764544832,52,52,87,0,"mixed"
"AJ","MS",2010,15,347,4.32276657060519,"M","M",7,8,35.9972621492129,34.9979466119097,52,43,137,210,"male"
"AJ","MU",2010,0,102,0,"M","F",0,0,35.9972621492129,39.9972621492129,52,52,39,63,"mixed"
"AJ","OT",2010,0,167,0,"M","F",0,0,35.9972621492129,12.3778234086242,52,52,167,0,"mixed"
"AJ","OU",2010,0,342,0,"M","F",0,0,35.9972621492129,30.5462012320329,52,52,217,125,"mixed"
"AJ","PB",2010,1,601,0.166389351081531,"M","M",1,0,35.9972621492129,15.4332648870637,52,52,379,222,"male"
"AJ","PG",2010,0,571,0,"M","M",0,0,35.9972621492129,21.6344969199179,52,52,449,122,"male"
